Conversion of an object of class 'genind' into a GENEPOP file with the package 'graph4lg'                                
B10, B86, R1, R10, R103, R11, R112, R17, R18, R19, R22, R23, R25, R26, R27, R28, R3, R30, R33, R34, R35, R37, R38, R4, R5, R6, R7, R86, R9, R90, R92, R93 
Pop                                
EG_SR18, 000000 186186 246246 222222 143143 171171 199199 279279 208208 139139 197197 276276 098098 194194 174174 172172 155155 153153 186186 146146 142142 296296 186186 210210 287287 196196 184184 209209 222222 252252 195195 215215
EG_SR19, 000000 186186 246246 213213 143143 163163 199199 275275 200200 135135 209209 280280 098098 194194 182182 172172 131131 153153 186186 146146 142142 304304 178178 225225 299299 196196 184184 209209 222222 254254 195195 145145
EG_SR2, 135135 186186 246246 219219 143143 171171 199199 279279 204204 139139 197197 280280 098098 194194 158158 172172 151151 165165 186186 146146 142142 316316 222222 220220 307307 196196 184184 209209 222222 252252 195195 161161
EG_SR20, 000000 186186 246246 216216 143143 171171 199199 283283 208208 131131 197197 276276 098098 194194 182182 172172 155155 157157 186186 146146 142142 200200 182182 225225 299299 196196 184184 209209 222222 252252 195195 165165
EG_SR21, 000000 186186 246246 255255 143143 171171 199199 275275 208208 143143 205205 268268 090090 194194 158158 172172 159159 161161 186186 146146 142142 308308 186186 220220 303303 196196 184184 209209 222222 252252 195195 157157
EG_SR22, 133133 186186 246246 255255 143143 163163 199199 283283 208208 143143 209209 268268 098098 194194 158158 172172 159159 165165 186186 146146 142142 304304 178178 210210 303303 196196 184184 209209 222222 252252 195195 157157
EG_SR23, 000000 186186 246246 249249 143143 171171 199199 275275 208208 143143 205205 268268 090090 194194 158158 172172 159159 161161 186186 146146 142142 308308 202202 220220 303303 196196 184184 209209 222222 252252 195195 157157
EG_SR24, 139139 186186 246246 240240 143143 179179 207207 275275 204204 139139 197197 276276 098098 198198 158158 172172 151151 165165 186186 146146 142142 284284 202202 210210 295295 196196 184184 209209 222222 252252 195195 153153
EG_SR25, 135135 186186 246246 249249 143143 179179 199199 279279 204204 139139 209209 268268 098098 194194 186186 172172 151151 165165 186186 146146 142142 300304 178178 220220 295295 196196 184184 205205 222222 000000 195195 161161
EG_SR26, 135135 186186 250250 210210 143143 183183 195195 287287 216216 131131 209209 256256 098098 194194 166166 172172 159159 161161 186186 146146 142142 304304 178178 210210 303303 196196 184184 209209 222222 252252 195195 157157
EG_SR27, 000000 186186 246246 204204 143143 175175 195195 275275 200200 135135 209209 264264 098098 194194 158158 172172 159159 165165 186186 146146 142142 268268 210210 210210 295295 196196 184184 209209 222222 252252 195195 157157
EG_SR28, 131131 186186 246246 201201 147147 179179 199199 275275 204204 143143 229229 280280 098098 194194 186186 172172 151151 165165 186186 146146 136136 288288 230230 230230 291291 196196 184184 209209 222222 252252 195195 157157
EG_SR29, 135135 186186 246246 210210 143143 179179 199199 275275 204204 139139 193193 268268 098098 194194 158158 172172 155155 161161 186186 146146 142142 284284 178178 230230 295295 196196 184184 205205 222222 252252 195195 161161
EG_SR3, 000000 186186 246246 219219 143143 171171 199199 279279 204204 139139 197197 280280 098098 194194 158158 172172 151151 165165 186186 146146 142142 320320 222222 220220 307307 196196 184184 209209 222222 252252 195195 161161
